char	chai	code	pinyin	zijiset	encode
仑	仑	Of	lún	GB0	off
仓	人⺋	JsPa	cāng	GB0	jpas
仔	亻子	TnDx	zǎi_zǐ_zī	GB0	tdxn
仕	亻士	TnGh	shì	GB0	tghn
他	亻也	TnOi	tā_tuó	GB0	toin
仗	亻一	TnYaOq	zhàng	GB0	tyoq
付	亻寸	TnDl	fù	GB0	tdln
仙	亻山	TnWr	xiān_xiǎn	GB0	twrn
仝	人工	JsHx	tóng	GB0	jhxs
仞	亻刀丶	TnFjHc	rèn	GB0	tfhc
仟	亻千	TnUv	qiān	GB0	tuvn
仡	亻𠂉乙	TnSfUq	gē_yì_wù	GB0	tsuq
代	亻弋	TnCf	dài	GB0	tcfn
令	亽龴	JgQj	lìng_líng_lǐng_lián	GB0	jqjg
以	人	SkJs	yǐ_sì	GB0	sjsk
仨	亻三	TnRm	sā	GB0	trmn
仪	亻丶乂	TnHcOq	yí	GB0	thoq
仫	亻丿厶	TnJtQj	mù	GB0	tjqj
们	亻门	TnKo	men_mén	GB0	tkon
仰	亻卩	TnKyPa	yǎng_áng	GB0	tkpa
仲	亻口丨	TnBlWf	zhòng	GB0	tbwf
仳	亻匕②	TnSkKz	pǐ_pí_bì	GB0	tskk
仵	亻𠂉十	TnSfSr	wǔ	GB0	tssr
件	亻牛	TnZf	jiàn_móu	GB0	tzfn
价	亻人	TnJsFj	jià_jie_jiè	GB0	tjfj
任	亻㇒士	TnJtGh	rèn_rén_lìn	GB0	tjgh
份	亻八刀	TnIsFj	fèn_bīn	GB0	tifj
仿	亻方	TnNs	fǎng_páng	GB0	tnsn
企	人止	JsPe	qǐ	GB0	jpes
伉	亻亠几	TnFcId	kàng_gāng_kǎng	GB0	tfid
伊	亻丿	TnRkJt	yī	GB0	trjt
伍	亻五	TnMb	wǔ	GB0	tmbn
伎	亻支	TnSy	jì_zhì_qí_qì	GB0	tsyn
伏	亻犬	TnNc	fú_fù	GB0	tncn
伐	亻戈	TnCu	fá	GB0	tcun
休	亻木	TnIe	xiū_xù	GB0	tien
众	人③	JsHt	zhòng_yín	GB0	jhst
优	亻尤	TnOr	yōu_yóu	GB0	torn
伙	亻火	TnLc	huǒ_huo	GB0	tlcn
会	人云	JsOg	huì_kuài	GB0	jogs
伛	亻匸㐅	TnAoOq	yǔ	GB0	taoq
伞	人丷十	JsNwSr	sǎn	GB0	jnsr
伟	亻韦	TnHd	wěi	GB0	thdn
传	亻二丶	TnNpLfHc	chuán_zhuàn	GB0	tnlh
伢	亻牙	TnMs	yá	GB0	tmsn
伤	亻𠂉力	TnSfVn	shāng	GB0	tsvn
伥	亻长	TnRp	chāng	GB0	trpn
伦	亻仑	TnOf	lún	GB0	tofn
伧	亻人⺋	TnJsPa	cāng_chen	GB0	tjpa
伪	亻丶力丶	TnHcVnHc	wěi	GB0	thvh
伫	亻宀一	TnEiYa	zhù	GB0	teya
伯	亻白	TnTk	bó_bǎi_mò_bà	GB0	ttkn
估	亻古	TnYs	gū_gù	GB0	tysn
伲	亻尸匕	TnOcSk	nì_ní_nǐ	GB0	tosk
伴	亻丷	TnNwEn	bàn_pàn	GB0	tnen
伶	亻亽龴	TnJgQj	líng	GB0	tjqj
伸	亻日丨	TnRhWf	shēn	GB0	trwf
伺	亻㇆一口	TnLfYaBl	cì_sì	GB0	tlyb
似	亻人	TnSkJs	shì_sì	GB0	tsjs
伽	亻力口	TnVnBl	gā_jiā_qié	GB0	tvbl
佃	亻田	TnJa	diàn_tián	GB0	tjan
但	亻日一	TnRhYa	dàn_tǎn_yàn	GB0	trya
位	亻立	TnOw	wèi_lì	GB0	town
低	亻氏丶	TnRiHc	dī	GB0	trhc
住	亻丶王	TnHcAh	zhù	GB0	thah
佐	亻𠂇工	TnLuHx	zuǒ	GB0	tlhx
佑	亻𠂇口	TnLuBl	yòu	GB0	tlbl
体	亻木一	TnIeYa	tǐ_tī_bèn_cuì	GB0	tiya
何	亻可	TnPw	hé_hè	GB0	tpwn
佗	亻宀匕	TnEiSk	tuó_tuō_tuò_yí	GB0	tesk
佘	人示	JsLd	shé	GB0	jlds
余	人	JsSv	yú_tú_xú_yù	GB0	jsvs
佚	亻丿夫	TnJtZo	yì_dié	GB0	tjzo
佛	亻弗	TnWp	fú_fó_bó_bì	GB0	twpn
作	亻乍	TnMf	zuò_zuō_zuó	GB0	tmfn
佝	亻句	TnWm	gōu_kòu_jū	GB0	twmn
佞	亻二女	TnNpWu	nìng	GB0	tnwu
佟	亻夂⺀	TnKeQu	tóng	GB0	tkqu
你	亻小	TnHjDu	nǐ	GB0	thdu
佣	亻用	TnOs	yōng_yòng	GB0	tosn
佤	亻瓦	TnLx	wǎ	GB0	tlxn
佥	亼⺍一	JgYqYa	qiān	GB0	jyya
佧	亻⺊一卜	TnUrYaUr	kǎ	GB0	tuyu
佩	亻⺇一巾	TnIdYaZy	pèi	GB0	tiyz
佬	亻老	TnMo	lǎo_liáo	GB0	tmon
佯	亻羊	TnMk	yáng	GB0	tmkn
佰	亻一白	TnYaTk	bǎi_mò	GB0	tytk
佳	亻土②	TnGmKz	jiā	GB0	tgkm
佴	亻耳	TnWi	èr_nài	GB0	twin
佶	亻士口	TnGhBl	jí	GB0	tgbl
佻	亻儿冫	TnInQuQu	tiāo_tiáo_tiào_diǎo_yáo_dào_zhào	GB0	tiqq
佼	亻六乂	TnSuOq	jiǎo_jiāo_xiáo	GB0	tsoq
佾	亻八⺝	TnIsXt	yì	GB0	tixt
使	亻一口	TnYaBlOq	shǐ	GB0	tybo
侃	亻口	TnBlZi	kǎn	GB0	tbzi
侄	亻至	TnEv	zhí	GB0	tevn
侈	亻夕②	TnPfKz	chǐ	GB0	tpkf
侉	亻大一丂	TnVuYaEl	kuǎ_huá_è_wú	GB0	tvye
例	亻歹刂	TnLwFj	lì_liè	GB0	tlfj
侍	亻土寸	TnGmDl	shì	GB0	tgdl
侏	亻丿未	TnJtGo	zhū_zhōu	GB0	tjgo
侑	亻𠂇⺝	TnLuXt	yòu	GB0	tlxt
侔	亻厶牛	TnQjZf	móu_máo	GB0	tqzf
侗	亻冂一口	TnKrYaBl	dòng_tōng_tóng_tǒng	GB0	tkyb
供	亻龷八	TnDnIs	gōng_gòng	GB0	tdis
依	亻衣	TnPs	yī_yǐ	GB0	tpsn
侠	亻夫丷	TnZoNw	xiá	GB0	tznw
侣	亻口②	TnBlKz	lǚ	GB0	tbkl
侥	亻一儿	TnCuYaIn	jiǎo_yáo	GB0	tcyi
侦	亻⺊贝	TnUrFm	zhēn	GB0	tufm
侧	亻贝刂	TnFmFj	cè_zè_zhāi	GB0	tffj
侨	亻丿大	TnJtVuFj	qiáo	GB0	tjvf
侩	亻人云	TnJsOg	kuài	GB0	tjog
侪	亻齐	TnAp	chái	GB0	tapn
侬	亻冖	TnEiPs	nóng	GB0	teps
侮	亻𠂉母	TnSfUa	wǔ	GB0	tsua
侯	亻矢	TnAoNv	hóu_hòu	GB0	tanv
侵	亻彐冖又	TnRkEiBj	qīn_qǐn	GB0	treb
便	亻一日	TnYaRhOq	biàn_pián_biān	GB0	tyro
促	亻足	TnJx	cù_chuò	GB0	tjxn
俄	亻丿扌戈	TnJtUgCu	é	GB0	tjuc
俅	亻一氺丶	TnYaYqHc	qiú	GB0	tyyh
俊	亻厶八夊	TnQjIsKe	jùn_shùn_dūn	GB0	tqik
俎	人②且	JsKzKx	zǔ	GB0	jkkx
俏	亻⺌⺝	TnDuXt	qiào_xiào_xiāo	GB0	tdxt
俐	亻禾刂	TnSvFj	lì	GB0	tsfj
俑	亻龴	TnQjOs	yǒng	GB0	tqos
俗	亻谷	TnHf	sú	GB0	thfn
俘	亻爫子	TnPuDx	fú	GB0	tpdx
俚	亻里	TnVp	lǐ_lì	GB0	tvpn
俜	亻由丂	TnBnEl	pīng	GB0	tbel
保	亻口木	TnBlIe	bǎo	GB0	tbie
俞	亼⺝刂	JgXtFj	yú_shù	GB0	jxfj
俟	亻厶矢	TnQjNv	qí_sì	GB0	tqnv
信	亻言	TnOm	xìn_shēn	GB0	tomn
俣	亻口一大	TnBlYaVu	yǔ	GB0	tbyv
俦	亻寸	TnFdDl	chóu	GB0	tfdl
俨	亻一厂	TnYaEoGj	yǎn	GB0	tyeg
俩	亻两	TnUx	liǎ_liǎng	GB0	tuxn
俪	亻一②	TnYaXtKz	lì	GB0	tyxk
俭	亻亼⺍一	TnJgYqYa	jiǎn	GB0	tjyy
修	亻丨夂彡	TnWfKeWy	xiū	GB0	twkw
俯	亻广亻寸	TnHbTnDl	fǔ	GB0	thtd
俱	亻	TnXnIs	jù_jū	GB0	txis
俳	亻非	TnUz	pái	GB0	tuzn
俸	亻㇏	TnFdHcEn	fèng_běng	GB0	tfhe
俺	亻大日乚	TnVuRhLf	ǎn_yàn	GB0	tvrl
俾	亻白丿十	TnTkJtSr	bǐ_bì_bēi_pì	GB0	ttjs
倌	亻宀㠯	TnEiRo	guān	GB0	tero
倍	亻立口	TnOwBl	bèi_péi	GB0	tobl
倏	亻丨夂犬	TnWfKeNc	shū	GB0	twkn
倒	亻至刂	TnEvFj	dào_dǎo	GB0	tefj
倔	亻尸屮凵	TnOcAmKr	jué_juè	GB0	toak
倘	亻尚	TnGk	tǎng_cháng	GB0	tgkn
候	亻丨矢	TnWfAoNv	hòu	GB0	twan
倚	亻大可	TnVuPw	yǐ_jī_yī	GB0	tvpw
倜	亻⺆土口	TnKrGmBl	tì_diào_zhōu	GB0	tkgb
借	亻龷日	TnDnRh	jiè	GB0	tdrh
倡	亻日②	TnRhKz	chàng_chāng	GB0	trkh
倥	亻穴工	TnQfHx	kōng_kǒng	GB0	tqhx
倦	亻丷夫⺋	TnNwZoPa	juàn	GB0	tnzp
倨	亻尸古	TnOcYs	jù	GB0	toys
倩	亻龶⺝	TnFdXt	qiàn_qìng	GB0	tfxt
倪	亻臼儿	TnVmIn	ní_nì_niè	GB0	tvin
倬	亻⺊早	TnUrIr	zhuō	GB0	tuir
倭	亻禾女	TnSvWu	wō_wēi_wǒ	GB0	tswu
倮	亻田木	TnJaIe	luǒ	GB0	tjie
债	亻龶贝	TnFdFm	zhài	GB0	tffm
值	亻十一	TnSrXnYa	zhí	GB0	tsxy
倾	亻页	TnSkMr	qīng	GB0	tsmr
偃	亻匸日女	TnAoRhWu	yǎn	GB0	tarw
假	亻二コ又	TnOcNpAoBj	jiǎ_jià_jie_xià_xiá_gé	GB0	tonb
偈	亻日勹亾	TnRhJwGf	jì_jié_qì	GB0	trjg
偌	亻艹𠂇口	TnDyLuBl	ruò_rè	GB0	tdlb
偎	亻田一	TnJaYaPs	wēi	GB0	tjyp
偏	亻户	TnAiNd	piān	GB0	tand
偕	亻匕②白	TnSkKzTk	xié_jiē	GB0	tskt
做	亻古攵	TnYsKd	zuò	GB0	tykd
停	亻丁	TnIhIx	tíng	GB0	tiix
健	亻聿廴	TnZkNa	jiàn	GB0	tzna
偬	亻勹丶心	TnJwWyHcQm	zǒng_cōng	GB0	tjwq
偶	亻田禸	TnJaXi	ǒu	GB0	tjxi
偷	亻亼⺝刂	TnJgXtFj	tōu	GB0	tjxf
偻	亻米女	TnEuWu	lóu_lǚ	GB0	tewu
偾	亻十艹贝	TnSrDyFm	fèn	GB0	tsdf
偿	亻龸云	TnGkOg	cháng	GB0	tgog
傀	亻鬼	TnTp	guī_kuǐ_kuài	GB0	ttpn
傅	亻甫寸	TnIwDl	fù_fū	GB0	tidl
傈	亻覀木	TnAgIe	lì	GB0	taie
傍	亻冖方	TnOwEiNs	bàng_páng_bēng_péng	GB0	toen
傣	亻㇏氺	TnFdHcYq	dǎi	GB0	tfhy
傥	亻儿	TnGkIn	tǎng	GB0	tgin
傧	亻宀	TnEiXuIs	bīn	GB0	texi
储	亻讠耂日	TnVkMoRh	chǔ	GB0	tvmr
傩	亻又隹	TnBjOd	nuó	GB0	tbod
催	亻山隹	TnWrOd	cuī	GB0	twod
傲	亻龶攵	TnFdFjKd	ào_áo	GB0	tffk
傺	亻示	TnIsLd	chì	GB0	tild
傻	亻囟乂八夊	TnUfOqIsKe	shǎ	GB0	tuok
像	亻象	TnUs	xiàng	GB0	tusn
僖	亻壴口	TnErBl	xī	GB0	tebl
僚	亻大丷日小	TnVuNwRhDu	liáo_liǎo_lǎo	GB0	tvnd
僦	亻小尤	TnIhDuOr	jiù	GB0	tido
僧	亻丷囗⺌日	TnNwXvDuRh	sēng_céng	GB0	tnxr
僬	亻隹灬	TnOdLc	jiāo_jiào_jiǎo	GB0	tolc
