char	chai	code	pinyin	zijiset	encode
渡	氵广廿又	YqHbDnBj	dù	GB0	yhdb
渣	氵木日一	YqIeRhYa	zhā	GB0	yiry
渤	氵十冖子力	YqSrEiDxVn	bó	GB0	ysev
渥	氵尸至	YqOcEv	wò_òu_wū	GB0	yoev
温	氵日皿	YqRhDo	wēn_yùn	GB0	yrdo
渫	氵廿㇗木	YqDnLfIe	xiè_dié_zhá_yì_qiè	GB0	ydli
渭	氵田⺝	YqJaXt	wèi	GB0	yjxt
港	氵龷八巳	YqDnIsDp	gǎng_hòng	GB0	ydid
渲	氵宀一日一	YqEiYaRhYa	xuàn	GB0	yeyy
渴	氵日勹亾	YqRhJwGf	kě_jié_kài_hé	GB0	yrjg
游	氵方𠂉子	YqNsSfDx	yóu_liú	GB0	ynsd
渺	氵目𡭔丿	YqXnDuJt	miǎo	GB0	yxdj
湃	氵龵一丰	YqEnYaFd	pài_bá	GB0	yeyf
湄	氵目	YqOcXn	méi	GB0	yoxn
湍	氵山而	YqWrFh	tuān_zhuān	GB0	ywfh
湎	氵面	YqRj	miǎn	GB0	yrjq
湓	氵八刀皿	YqIsFjDo	pén_pèn	GB0	yifd
湔	氵䒑⺝刂	YqNwXtFj	jiān_zàn_zhǎn_qián_jiàn	GB0	ynxf
湖	氵古月	YqYsXt	hú	GB0	yyxt
湘	氵木目	YqIeXn	xiāng	GB0	yixn
湛	氵㇗	YqWnIsLf	zhàn_chén_dān_tán_jìn_yǐn_chěn_yín_shèn	GB0	ywil
湟	氵白王	YqTkAh	huáng_kuàng	GB0	ytah
湫	氵禾火	YqSvLc	jiǎo_qiū_jiù_jiū_jiāo	GB0	yslc
湮	氵覀土	YqAgGm	yān_yīn	GB0	yagm
湾	氵亠弓	YqFcLcJe	wān	GB0	yflj
湿	氵日业	YqRhEo	shī	GB0	yreo
溃	氵贝	YqHrFm	kuì_huì	GB0	yhfm
溅	氵贝一戈	YqFmYaCu	jiàn_jiān	GB0	yfyc
溆	氵人又	YqJsSvBj	xù	GB0	yjsb
溉	氵旡	YqVoIv	gài_xiè	GB0	yviv
溏	氵广肀口	YqHbZkBl	táng	GB0	yhzb
源	氵厂白小	YqGjTkDu	yuán	GB0	ygtd
溘	氵土厶皿	YqGmQjDo	kè_kài	GB0	ygqd
溜	氵田	YqEhJa	liū_liù_liú	GB0	yeja
溟	氵冖日六	YqEiRhSu	míng_mǐng_mì	GB0	yers
溢	氵皿	YqYqDo	yì	GB0	yydo
溥	氵甫寸	YqIwDl	pǔ_fū_bù_bó_pò	GB0	yidl
溧	氵覀木	YqAgIe	lì	GB0	yaie
溪	氵爫幺大	YqPuNfVu	xī_qī	GB0	ypnv
溯	氵䒑月	YqNwAmXt	sù_shuò	GB0	ynax
溱	氵㇏禾	YqFdHcSv	qín_zhēn	GB0	yfhs
溲	氵臼丨又	YqVmWfBj	sōu_sǒu_shāo	GB0	yvwb
溴	氵自犬	YqFgNc	xiù_chòu	GB0	yfnc
溶	氵宀谷	YqEiHf	róng	GB0	yehf
溷	氵囗豕	YqXvTu	hùn_hún	GB0	yxtu
溺	氵弓冫弓冫	YqJeQuJeQu	nì_ruò_niào	GB0	yjqq
溻	氵⺜羽	YqRhKw	tā	GB0	yrkw
溽	氵辰寸	YqUeDl	rù_rú	GB0	yudl
滁	氵阝人	YqPrJsSv	chú	GB0	ypjs
滂	氵冖方	YqOwEiNs	pāng_pēng	GB0	yoen
滇	氵十	YqSrXnIs	diān_tián_zhēn	GB0	ysxi
滋	氵䒑幺②	YqNwNfKz	zī_cí_xuán	GB0	ynnk
滏	氵八乂	YqIsOqKt	fǔ	GB0	yiok
滑	氵骨	YqCw	huá_gǔ	GB0	ycwq
滓	氵宀辛	YqEiJr	zǐ	GB0	yejr
滔	氵爫臼	YqPuVm	tāo	GB0	ypvm
滕	月丷夫氺	XtNwZoYq	téng	GB0	xnzy
滗	氵⺮毛	YqMvEk	bì	GB0	ymek
滚	氵衣八厶	YqPsIsQj	gǔn	GB0	ypiq
滞	氵冖巾	YqKbEiZy	zhì	GB0	ykez
滟	氵丰⺈巴	YqFdHjGi	yàn	GB0	yfhg
滠	氵耳又②	YqWiBjKz	shè	GB0	ywbk
满	氵艹两	YqDyUx	mǎn	GB0	ydux
滢	氵艹冖王丶	YqDyEiAhHc	yíng	GB0	ydeh
滤	氵虍心	YqGpQm	lǜ	GB0	ygqm
滥	氵〢皿	YqFjMvDo	làn	GB0	yfmd
滦	氵亠木	YqFcLcIe	luán	GB0	yfli
滨	氵宀	YqEiXuIs	bīn	GB0	yexi
滩	氵又隹	YqBjOd	tān	GB0	ybod
滴	氵啇古	YqCtYs	dī	GB0	ycys
滹	氵虍丿丷	YqGpJtNwSr	hū_hǔ	GB0	ygjs
漂	氵覀示	YqAgLd	piāo_piào_piǎo_biāo	GB0	yald
漆	氵木人氺	YqIeJsYq	qī_qiè	GB0	yijy
漉	氵鹿	YqBi	lù	GB0	ybiq
漏	氵尸雨	YqOcPj	lòu_lóu	GB0	yopj
漓	氵亠㐅凵禸	YqFcOqKrXi	lí	GB0	yfox
演	氵宀一由八	YqEiYaBnIs	yǎn_yàn	GB0	yeyi
漕	氵一曲日	YqYaCmRh	cáo_cào	GB0	yycr
漠	氵艹日大	YqDyRhVu	mò	GB0	ydrv
漤	氵木②女	YqIeKzWu	lǎn	GB0	yikw
漩	氵方𠂉疋	YqNsSfKq	xuán	GB0	ynsk
漪	氵犭大可	YqNcVuPw	yī	GB0	ynvp
漫	氵日罒又	YqRhPgBj	màn	GB0	yrpb
漭	氵艹犬廾	YqDyNcDy	mǎng	GB0	ydnd
漯	氵田糸	YqJaFu	luò_tà_lěi	GB0	yjfu
漱	氵束欠	YqFyLs	shù	GB0	yfls
漳	氵音十	YqHnSr	zhāng	GB0	yhsr
漶	氵串心	YqYfQm	huàn	GB0	yyqm
漾	氵⺷丶	YqMkHcYq	yàng	GB0	ymhy
潆	氵艹冖糸	YqDyEiFu	yíng	GB0	ydef
潇	氵艹肀八	YqDyZkFjIs	xiāo	GB0	ydzi
潋	氵亼⺍一攵	YqJgYqYaKd	liàn	GB0	yjyk
潍	氵纟隹	YqZjOd	wéi	GB0	yzod
潘	氵丿米田	YqJtEuJa	pān_pàn_bō_pán_fān	GB0	yjej
潜	氵夫②日	YqZoKzRh	qián	GB0	yzkr
潞	氵⻊各	YqJxGy	lù	GB0	yjgy
潢	氵黄	YqCn	huáng_huàng_guāng	GB0	ycnq
潦	氵大丷日小	YqVuNwRhDu	lǎo_liáo_lào_láo_liǎo	GB0	yvnd
潭	氵覀早	YqAgIr	tán_xún_yǐn_dàn	GB0	yair
潮	氵十早月	YqSrIrXt	cháo	GB0	ysix
潲	氵禾⺌⺝	YqSvDuXt	shào	GB0	ysdx
潴	氵犭耂日	YqNcMoRh	zhū	GB0	ynmr
潸	氵木②⺝	YqIeKzXt	shān	GB0	yikx
潺	氵尸子③	YqOcDxHt	chán	GB0	yodh
潼	氵立里	YqOwVp	tóng_chōng_zhōng	GB0	yovp
澄	氵癶豆	YqIsHw	chéng_dèng	GB0	yihw
澈	氵⺝攵	YqOgXtKd	chè	GB0	yoxk
澉	氵乛耳攵	YqLfWiKd	gǎn_hàn	GB0	ylwk
澌	氵斤	YqWnIsXu	sī	GB0	ywix
澍	氵壴寸	YqErDl	shù_zhù	GB0	yedl
澎	氵彡	YqErWy	pēng_péng	GB0	yewy
澜	氵门束丷	YqKoFyNw	lán	GB0	ykfn
澡	氵品木	YqUbIe	zǎo_cāo	GB0	yuie
澧	氵曲豆	YqCmHw	lǐ	GB0	ychw
澳	氵𰃦米大	YqUfEuVu	ào_yù	GB0	yuev
澶	氵亠囗口日一	YqFcXvBlRhYa	chán_dàn_zhān	GB0	yfxy
澹	氵⺈厂八言	YqHjGjIsOm	dàn_tán_dān_shàn	GB0	yhgo
激	氵白方攵	YqTkNsKd	jī_jiào_jiāo	GB0	ytnk
濂	氵广䒑	YqHbNwRkLc	lián_xiǎn	GB0	yhnl
濉	氵目隹	YqXnOd	suī	GB0	yxod
濑	氵束⺈贝	YqFyHjFm	lài	GB0	yfhf
濒	氵止页	YqPePeMr	bīn	GB0	yppm
濞	氵自田丌	YqFgJaDy	bì_pì	GB0	yfjd
濠	氵豕	YqIhTu	háo	GB0	yitu
濡	氵⻗而	YqPjFh	rú_ruǎn_ér_nuán_nuò	GB0	ypfh
濮	氵亻业⺶㇏	YqTnEoMkHc	pú	GB0	yteh
濯	氵羽隹	YqKwOd	zhuó_shuò_zhào	GB0	ykod
瀑	氵日龷八氺	YqRhDnIsYq	pù_bào_bó	GB0	yrdy
瀚	氵十早人羽	YqSrIrJsKw	hàn	GB0	ysik
瀛	氵赢女	YqGvWu	yíng	GB0	ygwu
瀣	氵歺又非一	YqLwBjUzYa	xiè	GB0	ylby
瀵	氵米田龷八	YqEuJaDnIs	fèn	GB0	yeji
瀹	氵侖𠱠	YqTiHe	yuè_yào	GB0	ythe
灌	氵艹吅隹	YqDyWhOd	guàn_huàn	GB0	ydwo
灏	氵日小页	YqRhIhDuMr	hào	GB0	yrim
灞	氵⻗革月	YqPjPcXt	bà	GB0	yppx
火	火	Lc	huǒ_huō	GB0	lcc
灬	灬	Lc	biāo_huǒ	GB0	lccc
灭	一火	YaLc	miè	GB0	ylca
灯	火丁	LcIx	dēng_dīng	GB0	lixc
灰	𠂇火	LuLc	huī	GB0	llcu
灵	彐火	RkLc	líng	GB0	rlck
灶	火土	LcGm	zào	GB0	lgmc
灸	丶火	HjHcLc	jiǔ	GB0	hhlc
灼	火勹丶	LcJwHc	zhuó	GB0	ljhc
灾	宀火	EiLc	zāi	GB0	elci
灿	火山	LcWr	càn	GB0	lwrc
炀	火ㄋ	LcLfWy	yáng	GB0	llwy
炅	日火	RhLc	jiǒng_guì	GB0	rlch
炉	火户	LcAi	lú	GB0	laic
炊	火欠	LcLs	chuī	GB0	llsc
炎	火②	LcKz	yán_yàn_tán	GB0	lkcz
炒	火𡭔丿	LcDuJt	chǎo	GB0	ldjt
炔	火人	LcAoJs	guì_quē_xuè	GB0	lajs
炕	火亠几	LcFcId	kàng_hāng	GB0	lfid
炖	火一	LcYaAm	dùn_tún	GB0	lyam
炙	火	XtLc	zhì	GB0	xlct
炜	火韦	LcHd	wěi	GB0	lhdc
炝	火人⺋	LcJsPa	qiàng	GB0	ljpa
炫	火亠幺	LcFcNf	xuàn	GB0	lfnf
炬	火匚コ	LcAoAo	jù	GB0	laao
炭	山𠂇火	WrLuLc	tàn	GB0	wllc
炮	火勹巳	LcJwDp	pào_bāo_páo	GB0	ljdp
炯	火冂口	LcKrBl	jiǒng	GB0	lkbl
炱	厶口火	QjBlLc	tái	GB0	qblc
炳	火一冂人	LcYaKrJs	bǐng	GB0	lykj
炷	火丶王	LcHcAh	zhù	GB0	lhah
炸	火乍	LcMf	zhà_zhá	GB0	lmfc
点	⺊口灬	UrBlLc	diǎn	GB0	ublc
炻	火石	LcNe	shí	GB0	lnec
炼	火	LcMdDu	liàn	GB0	lmdu
炽	火口八	LcBlIs	chì	GB0	lbis
烀	火丿丷	LcJtNwSr	hū	GB0	ljns
烁	火小	LcKyDu	shuò	GB0	lkdu
烂	火丷三	LcNwRm	làn	GB0	lnrm
烃	火ス工	LcBjHx	tīng	GB0	lbhx
烈	歹刂灬	LwFjLc	liè	GB0	lflc
烊	火羊	LcMk	yáng_yàng	GB0	lmkc
烘	火龷八	LcDnIs	hōng	GB0	ldis
烙	火各	LcGy	lào_luò	GB0	lgyc
烛	火虫	LcHr	zhú_chóng	GB0	lhrc
烟	火囗大	LcXvVu	yān_yīn	GB0	lxvu
烤	火耂丂	LcMoEl	kǎo	GB0	lmel
烦	火页	LcMr	fán	GB0	lmrc
烧	火一儿	LcCuYaIn	shāo	GB0	lcyi
烨	火亻十	LcTnSkSr	yè	GB0	ltss
烩	火人云	LcJsOg	huì	GB0	ljog
烫	氵ㄋ火	YqLfWyLc	tàng	GB0	ylwl
烬	火尸㇏⺀	LcOcHcQu	jìn	GB0	lohq
热	扌九丶灬	UgSmHcLc	rè	GB0	ushl
烯	火㐅𠂇巾	LcOqLuZy	xī	GB0	lolz
烷	火宀二儿	LcEiNpIn	wán	GB0	leni
烹	了灬	IhDfLc	pēng	GB0	idlc
烽	火夂丰	LcKeFd	fēng	GB0	lkfd
焉	一止丂灬	YaPeElLc	yān_yí	GB0	ypel
焊	火日干	LcRhDk	hàn	GB0	lrdk
焐	火五口	LcMbBl	wù	GB0	lmbl
焓	火亽口	LcJgLfBl	hán	GB0	ljlb
焕	火⺈大	LcHjKrVu	huàn	GB0	lhkv
焖	火门心	LcKoQm	mèn	GB0	lkqm
焘	寸灬	FdDlLc	dào_tāo	GB0	fdlc
焙	火立口	LcOwBl	bèi	GB0	lobl
焚	木②火	IeKzLc	fén_fèn	GB0	iklc
焦	隹灬	OdLc	jiāo_qiáo	GB0	olcd
焯	火⺊早	LcUrIr	chāo_zhuō_zhuó_chuò	GB0	luir
焰	火⺈臼	LcHjVm	yàn	GB0	lhvm
焱	火③	LcHt	yàn_yì	GB0	lhct
然	犬灬	XtNcLc	rán	GB0	xnlc
煅	火一殳	LcEnYaFo	duàn	GB0	leyf
煊	火宀一日一	LcEiYaRhYa	xuān	GB0	leyy
煌	火白王	LcTkAh	huáng	GB0	ltah
煎	䒑⺝刂灬	NwXtFjLc	jiān_jiàn_jiǎn	GB0	nxfl
煜	火日立	LcRhOw	yù	GB0	lrow
煞	⺈彐攵灬	HjRkKdLc	shā_shà	GB0	hrkl
煤	火甘木	LcWnIe	méi	GB0	lwie
煦	日句灬	RhWmLc	xù_xiū	GB0	rwlc
照	日刀口灬	RhFjBlLc	zhào	GB0	rfbl
煨	火田一	LcJaYaPs	wēi_yù	GB0	ljyp
煮	耂日灬	MoRhLc	zhǔ	GB0	mrlc
煲	亻口木火	TnBlIeLc	bāo	GB0	tbil
煳	火古月	LcYsXt	hú	GB0	lyxt
煸	火户	LcAiNd	biān	GB0	land
煺	火艮辶	LcQpMe	tuì	GB0	lqme
煽	火户羽	LcAiKw	shān	GB0	lakw
熄	火自心	LcFgQm	xī	GB0	lfqm
熊	厶⺝匕②灬	QjXtSkKzLc	xióng	GB0	qxsl
熏	千黑	UvXh	xūn_xùn	GB0	uxhv
熔	火宀谷	LcEiHf	róng	GB0	lehf
熘	火田	LcEhJa	liū	GB0	leja
熙	巳灬	SpDpLc	xī_yí	GB0	sdlc
熟	子九丶灬	IhDxSmHcLc	shú_shóu	GB0	idsl
熠	火羽白	LcKwTk	yì	GB0	lktk
熨	尸示寸火	OcLdDlLc	yùn_yù_wèi	GB0	oldl
熬	龶攵灬	FdFjKdLc	áo_āo	GB0	ffkl
熳	火日罒又	LcRhPgBj	màn	GB0	lrpb
熵	火啇八口	LcCtIsBl	shāng	GB0	lcib
熹	壴口灬	ErBlLc	xī	GB0	eblc
燃	火犬灬	LcXtNcLc	rán	GB0	lxnl
燎	火大丷日小	LcVuNwRhDu	liáo_liǎo_liào	GB0	lvnd
燔	火丿米田	LcJtEuJa	fán_fén	GB0	ljej
燕	廿口匕灬	DnBlMpSkLc	yàn_yān	GB0	dbml
燠	火𰃦米大	LcUfEuVu	yù_ào	GB0	luev
燥	火品木	LcUbIe	zào_sào	GB0	luie
燧	火丷豕辶	LcNwTuMe	suì	GB0	lntm
燮	言火②又	OmLcKzBj	xiè	GB0	olkb
燹	豕②火	TuKzLc	xiǎn_bìng	GB0	tklc
爆	火日龷八氺	LcRhDnIsYq	bào_bó	GB0	lrdy
爝	火爫罒寸	LcPuPgVoDl	jué_jiào	GB0	lppd
爨	冂一口冖木②大火	VmKrYaBlEiIeKzVuLc	cuàn	GB0	vkyl
爪	爪	Pu	zhǎo_zhuǎ	GB0	puu
爬	爪巴	PuGi	pá	GB0	pgiu
爰	爫一𠂇又	PuYaLuBj	yuán	GB0	pylb
爱	爫冖𠂇又	PuEiLuBj	ài	GB0	pelb
爵	爫罒寸	PuPgVoDl	jué	GB0	ppvd
父	八乂	IsOq	fù_fǔ	GB0	ioqs
爷	八乂卩	IsOqPa	yé	GB0	iopa
爸	八乂巴	IsOqGi	bà	GB0	iogi
爹	八乂夕②	IsOqPfKz	diē	GB0	iopk
爻	乂②	OqKz	yáo_xiào	GB0	okqz
爽	大乂④	VuOqUt	shuǎng_shuāng	GB0	vouq
爿	爿	Vh	pán_qiáng	GB0	vhh
片	片	Lv	piàn_piān_pàn	GB0	lvv
版	片⺁又	LvGjBj	bǎn	GB0	lgbj
牌	片白丿十	LvTkJtSr	pái	GB0	ltjs
牍	片十乛⺀大	LvSrLfQuVu	dú	GB0	lslv
牒	片廿㇗木	LvDnLfIe	dié	GB0	ldli
牖	片户甫	LvAiIw	yǒu	GB0	laiw
牙	牙	Ms	yá_yà	GB0	mss
牛	牛	Zf	niú	GB0	zff
牝	牜匕	ZfSk	pìn	GB0	zskf
牟	厶牛	QjZf	móu_mù_mào	GB0	qzfj
牡	牜土	ZfGm	mǔ	GB0	zgmf
牢	宀牛	EiZf	láo_lào_lóu	GB0	ezfi
牦	牜毛	ZfEk	máo	GB0	zekf
牧	牜攵	ZfKd	mù	GB0	zkdf
物	牜勹	ZfJwWy	wù	GB0	zjwy
牮	亻弋牛	TnCfZf	jiàn	GB0	tczf
牯	牜古	ZfYs	gǔ	GB0	zysf
牲	牜生	ZfOu	shēng	GB0	zouf
牵	大冖牛	VuEiZf	qiān	GB0	vezf
特	牜土寸	ZfGmDl	tè	GB0	zgdl
牺	牜西	ZfAg	xī	GB0	zagf
牾	牜五口	ZfMbBl	wǔ_wú	GB0	zmbl
牿	牜⺧口	ZfZfBl	gù	GB0	zzbl
犀	尸氺牛	OcYqZf	xī	GB0	oyzf
犁	禾刂牛	SvFjZf	lí	GB0	sfzf
犄	牜大可	ZfVuPw	jī_yī	GB0	zvpw
犊	牜十乛⺀大	ZfSrLfQuVu	dú	GB0	zslv
犋	牜	ZfXnIs	jù	GB0	zxis
犍	牜聿廴	ZfZkNa	jiān_qián_jiǎn	GB0	zzna
犏	牜户	ZfAiNd	piān	GB0	zand
犒	牜高	ZfIh	kào	GB0	zihf
犟	弓口虫牛	JeBlHrZf	jiàng	GB0	jbhz
犬	犬	Nc	quǎn	GB0	ncc
犭	犭	Nc	quǎn	GB0	nccc
犯	犭⺋	NcPa	fàn	GB0	npac
犰	犭九	NcSm	qiú	GB0	nsmc
犴	犭干	NcDk	àn_hān_án_jiàn	GB0	ndkc
状	丬犬	MpNc	zhuàng	GB0	mncp
犷	犭广	NcHb	guǎng	GB0	nhbc
犸	犭马	NcSo	mà_mǎ	GB0	nsoc
犹	犭尤	NcOr	yóu_yòu	GB0	norc
狁	犭厶儿	NcQjIn	yǔn	GB0	nqin
狂	犭王	NcAh	kuáng_jué	GB0	nahc
狃	犭ヿ土	NcLfGm	niǔ_nǜ	GB0	nlgm
狄	犭火	NcLc	dí_tì	GB0	nlcc
狈	犭贝	NcFm	bèi	GB0	nfmc
狍	犭勹巳	NcJwDp	páo	GB0	njdp
狎	犭甲	NcBk	xiá	GB0	nbkc
狐	犭瓜	NcXj	hú	GB0	nxjc
狒	犭弗	NcWp	fèi	GB0	nwpc
狗	犭句	NcWm	gǒu	GB0	nwmc
狙	犭且	NcKx	jū	GB0	nkxc
狞	犭宀丁	NcEiIx	níng	GB0	neix
狠	犭艮	NcQp	hěn_yán_kěn_hǎng	GB0	nqpc
狡	犭六乂	NcSuOq	jiǎo_xiào	GB0	nsoq
狨	犭戈𠂇	NcCuLu	róng	GB0	nclu
狩	犭宀寸	NcEiDl	shòu	GB0	nedl
独	犭虫	NcHr	dú	GB0	nhrc
狭	犭夫丷	NcZoNw	xiá	GB0	nznw
狮	犭リ一巾	NcFjYaZy	shī	GB0	nfyz
狯	犭人云	NcJsOg	kuài	GB0	njog
狰	犭⺈	NcHjZk	zhēng	GB0	nhzk
狱	犭讠犬	NcVkNc	yù	GB0	nvnc
狲	犭子小	NcDxDu	sūn	GB0	nddu
狳	犭人	NcJsSv	yú	GB0	njsv
狴	犭匕②土	NcSkKzGm	bì	GB0	nskg
狷	犭口⺝	NcBlXt	juàn	GB0	nbxt
狸	犭里	NcVp	lí	GB0	nvpc
狺	犭言	NcOm	yín	GB0	nomc
狻	犭厶八夊	NcQjIsKe	suān_xùn_jùn	GB0	nqik
狼	犭丶艮	NcHcQp	láng_lǎng_làng_hǎng	GB0	nhqp
猁	犭禾刂	NcSvFj	lì	GB0	nsfj
猃	犭亼⺍一	NcJgYqYa	xiǎn	GB0	njyy
猊	犭臼儿	NcVmIn	ní	GB0	nvin
猎	犭龷日	NcDnRh	liè_xī_què	GB0	ndrh
猓	犭田木	NcJaIe	guǒ_luǒ	GB0	njie
猕	犭弓小	NcJeHjDu	mí	GB0	njhd
猖	犭日②	NcRhKz	chāng	GB0	nrkh
猗	犭大可	NcVuPw	yī_yǐ_jì_ē_wēi	GB0	nvpw
猛	犭子皿	NcDxDo	měng	GB0	nddo
猜	犭龶⺝	NcFdXt	cāi	GB0	nfxt
猝	犭亠人②十	NcFcJsKzSr	cù	GB0	nfjs
猞	犭人	NcJsZm	shē	GB0	njzm
猡	犭罒夕	NcPgPf	luó	GB0	nppf
猢	犭古月	NcYsXt	hú	GB0	nyxt
猥	犭田一	NcJaYaPs	wěi_wèi	GB0	njyp
猩	犭日生	NcRhOu	xīng	GB0	nrou
猪	犭耂日	NcMoRh	zhū	GB0	nmrh
猫	犭艹田	NcDyJa	māo_miáo_máo	GB0	ndja
猬	犭田⺝	NcJaXt	wèi	GB0	njxt
献	十冂犬	SrKrMkNc	xiàn	GB0	skmn
猱	犭予丿木	NcWjJtIe	náo	GB0	nwji
猴	犭亻矢	NcTnAoNv	hóu	GB0	ntan
猷	丷酉犬	NwQyNc	yóu	GB0	nqnc
猸	犭目	NcOcXn	méi	GB0	noxn
猹	犭木日一	NcIeRhYa	chá	GB0	niry
猾	犭骨	NcCw	huá	GB0	ncwc
猿	犭土口	NcGmBlPs	yuán	GB0	ngbp
獍	犭音儿	NcHnIn	jìng	GB0	nhin
獐	犭音十	NcHnSr	zhāng	GB0	nhsr
獒	龶攵犬	FdFjKdNc	áo	GB0	ffkn
獗	犭厂䒑欠	NcGjNwAmLs	jué	GB0	ngnl
獠	犭大丷日小	NcVuNwRhDu	liáo_lǎo	GB0	nvnd
獬	犭⺈用刀牛	NcHjOsFjZf	xiè_hǎ_jiě	GB0	nhoz
獭	犭束⺈贝	NcFyHjFm	tǎ	GB0	nfhf
獯	犭千黑	NcUvXh	xūn	GB0	nuxh
獾	犭艹吅隹	NcDyWhOd	huān_quán	GB0	ndwo
玄	亠幺	FcNf	xuán_xuàn	GB0	fnfc
率	亠幺冫十	FcNfQuQuSr	lǜ_shuài_lüè	GB0	fnqs
玉	王丶	AhHc	yù	GB0	ahch
王	王	Ah	wáng_wàng_yù	GB0	ahh
玎	王丁	AhIx	dīng	GB0	aixh
玑	王几	AhId	jī	GB0	aidh
玖	王㇏	AhHjHc	jiǔ	GB0	ahhc
玛	王马	AhSo	mǎ	GB0	asoh
玟	王文	AhKg	wén_mín	GB0	akgh
玢	王八刀	AhIsFj	bīn_fēn	GB0	aifj
玩	王二儿	AhNpIn	wán	GB0	anin
玫	王攵	AhKd	méi	GB0	akdh
玮	王韦	AhHd	wěi	GB0	ahdh
环	王不	AhZv	huán	GB0	azvh
现	王见	AhJv	xiàn	GB0	ajvh
玲	王亽龴	AhJgQj	líng	GB0	ajqj
玳	王亻弋	AhTnCf	dài	GB0	atcf
玷	王⺊口	AhUrBl	diàn_diān	GB0	aubl
玺	小王丶	HjDuAhHc	xǐ	GB0	hdah
玻	王皮	AhRn	bō	GB0	arnh
珀	王白	AhTk	pò	GB0	atkh
珂	王可	AhPw	kē	GB0	apwh
珈	王力口	AhVnBl	jiā	GB0	avbl
珉	王民	AhOa	mín	GB0	aoah
珊	王册	AhYv	shān	GB0	ayvh
珍	王人彡	AhJsWy	zhēn	GB0	ajwy
珏	王②丶	AhKzHc	jué	GB0	akhc
珐	王土厶	AhGmQj	fà	GB0	agqj
珑	王龙	AhPd	lóng	GB0	apdh
珙	王龷八	AhDnIs	gǒng	GB0	adis
珞	王各	AhGy	luò_lì	GB0	agyh
珠	王丿未	AhJtGo	zhū	GB0	ajgo
珥	王耳	AhWi	ěr	GB0	awih
珧	王儿冫	AhInQuQu	yáo	GB0	aiqq
珩	王行	AhFs	háng_héng	GB0	afsh
班	王王	AhFjAh	bān	GB0	afah
珲	王冖车	AhEiGu	huī_hún	GB0	aegu
球	王一氺丶	AhYaYqHc	qiú	GB0	ayyh
琅	王丶艮	AhHcQp	láng_làng	GB0	ahqp
理	王里	AhVp	lǐ	GB0	avph
琉	王	AhOgZi	liú	GB0	aozi
琊	王牙阝	AhMsPr	yá	GB0	ampr
琏	王车辶	AhGuMe	liǎn	GB0	agme
琐	王⺌贝	AhDuFm	suǒ	GB0	adfm
琚	王尸古	AhOcYs	jū	GB0	aoys
琛	王冖八木	AhEiIsIe	chēn	GB0	aeii
琢	王豕丶	AhTuHc	zuó_zhuó	GB0	athc
琥	王虎	AhGp	hǔ	GB0	agph
琦	王大可	AhVuPw	qí	GB0	avpw
琨	王日匕②	AhRhSkKz	kūn	GB0	arsk
琪	王	AhWnIs	qí	GB0	awis
琬	王宀夕⺋	AhEiPfPa	wǎn	GB0	aepp
琮	王宀示	AhEiLd	cóng	GB0	aeld
琰	王火②	AhLcKz	yǎn	GB0	alkc
琳	王木②	AhIeKz	lín	GB0	aike
琴	王②亽	AhKzJgLf	qín	GB0	akjl
琵	王②匕②	AhKzSkKz	pí	GB0	aksk
琶	王②巴	AhKzGi	pá	GB0	akgi
琼	王小	AhIhDu	qióng	GB0	aidu
瑁	王⺜目	AhRhXn	mào	GB0	arxn
瑕	王二コ又	AhOcNpAoBj	xiá	GB0	aonb
瑗	王爫一𠂇又	AhPuYaLuBj	yuàn_huán	GB0	apyb
瑙	王巛囟乂	AhZiUfOq	nǎo	GB0	azuo
瑚	王古月	AhYsXt	hú	GB0	ayxt
瑛	王艹大	AhDyKrVu	yīng	GB0	adkv
瑜	王亼⺝刂	AhJgXtFj	yú	GB0	ajxf
瑞	王山而	AhWrFh	ruì	GB0	awfh
瑟	王②心丿	AhKzQmJt	sè	GB0	akqj
瑭	王广肀口	AhHbZkBl	táng	GB0	ahzb
瑰	王鬼	AhTp	guī	GB0	atph
瑶	王爫缶	AhPuFp	yáo	GB0	apfp
瑷	王爫冖𠂇又	AhPuEiLuBj	ài	GB0	apeb
瑾	王廿口龶	AhDnBlFd	jǐn_jìn	GB0	adbf
璀	王山隹	AhWrOd	cuǐ	GB0	awod
璁	王囟夂心	AhUfKeQm	cōng	GB0	aukq
璃	王亠㐅凵禸	AhFcOqKrXi	lí	GB0	afox
璇	王方𠂉疋	AhNsSfKq	xuán	GB0	ansk
璋	王音十	AhHnSr	zhāng	GB0	ahsr
璎	王贝②女	AhFmKzWu	yīng	GB0	afkw
璐	王⻊各	AhJxGy	lù	GB0	ajgy
璜	王黄	AhCn	huáng	GB0	acnh
璞	王业⺶㇏	AhEoMkHc	pú	GB0	aemh
璧	尸口辛王丶	OcBlJrAhHc	bì	GB0	objh
璨	王歺又米	AhLwBjEu	càn	GB0	albe
璩	王虍豕	AhGpTu	qú	GB0	agtu
璺	冂一口冖王丶	VmKrYaBlEiAhHc	wèn	GB0	vkyh
瓒	王⺧⺧儿贝	AhZfInZfInFm	zàn	GB0	azif
瓜	瓜	Xj	guā	GB0	xjj
瓞	瓜丿夫	XjJtZo	dié	GB0	xjzo
瓠	大一丂瓜	VuYaElXj	hù_hú_huò_gū	GB0	vyex
瓢	覀示瓜	AgLdXj	piáo	GB0	alxj
